hora_incidente,comuna_accidente,clase_accidente,diseno_via,condicion_clima,severidad_incidente
6,La Candelaria,Choque,Lote baldio,Seco,0
19,Aranjuez,Choque,Tramo de via,Seco,0
14,El Poblado,Choque,Interseccion,DESCONOCIDO,0
10,Aranjuez,Choque,Tramo de via,Seco,0
7,La Candelaria,Otro,Interseccion,Niebla,0
20,Laureles_error,Choque,Interseccion,Seco,1
6,Laureles_error,Otro,Tramo de via,Seco,0
18,La Candelaria,Choque,Lote baldio,Seco,0
22,El Poblado,Choque,Tramo de via,Seco,0
10,La Candelaria,Choque,Tramo de via,Lluvia,0
10,La Candelaria,Choque,Interseccion,Niebla,0
23,Manrique,Choque,Interseccion,Lluvia,1
20,El Poblado,Atropello,Tramo de via,Lluvia,1
3,Robledo,Choque,Tramo de via,Seco,0
7,El Poblado,Atropello,Tramo de via,Seco,1
23,Belen_Error,Atropello,Tramo de via,DESCONOCIDO,1
2,Robledo,Choque,Interseccion,Seco,0
21,Aranjuez,Choque,Tramo de via,Lluvia,0
20,Laureles_error,Atropello,Tramo de via,Lluvia,0
1,Laureles_error,Choque,Tramo de via,Seco,1
23,El Poblado,Choque,Tramo de via,DESCONOCIDO,0
11,Castilla,Otro,Tramo de via,Seco,0
5,Robledo,Choque,Tramo de via,Seco,0
1,Manrique,Atropello,Lote baldio,Seco,1
20,La Candelaria,Otro,Interseccion,Seco,0
0,Belen_Error,Choque,Tramo de via,Seco,1
11,Castilla,Choque,Glorieta,Seco,0
21,La Candelaria,Choque,Interseccion,Lluvia,0
11,La Candelaria,Choque,Interseccion,Niebla,0
16,Belen_Error,Choque,Tramo de via,Seco,0
9,Aranjuez,Atropello,Tramo de via,Seco,0
15,Robledo,Choque,Tramo de via,Niebla,0
14,La Candelaria,Choque,Tramo de via,Seco,1
14,Robledo,Otro,Tramo de via,Seco,0
18,La Candelaria,Caida ocupante,Tramo de via,Seco,0
11,La Candelaria,Atropello,Tramo de via,Seco,0
22,La Candelaria,Choque,Interseccion,Seco,0
19,Robledo,Atropello,Tramo de via,DESCONOCIDO,0
2,Belen_Error,Choque,Tramo de via,Seco,1
4,Laureles_error,Choque,Lote baldio,Seco,1
18,El Poblado,Choque,Paso Elevado,Seco,0
6,Castilla,Caida ocupante,Interseccion,Seco,0
20,El Poblado,Choque,Lote baldio,Seco,0
8,Robledo,Choque,Tramo de via,Lluvia,0
6,Laureles_error,Choque,Lote baldio,Lluvia,0
17,El Poblado,Choque,Tramo de via,Seco,0
3,Laureles_error,Caida ocupante,Tramo de via,Niebla,1
13,El Poblado,Atropello,Tramo de via,Lluvia,0
17,Belen_Error,Atropello,Tramo de via,Lluvia,0
